datetime,close,high,low,open,volume
2026-04-09 07:20:00+00:00,23813.0,23819.150390625,23801.599609375,23807.099609375,0
2026-04-09 07:21:00+00:00,23818.599609375,23825.150390625,23811.5,23811.5,0
2026-04-09 07:22:00+00:00,23824.69921875,23827.150390625,23819.099609375,23819.25,0
2026-04-09 07:23:00+00:00,23823.650390625,23828.400390625,23819.44921875,23825.05078125,0
2026-04-09 07:24:00+00:00,23831.30078125,23839.400390625,23820.05078125,23823.19921875,0
2026-04-09 07:25:00+00:00,23837.69921875,23839.400390625,23830.599609375,23830.599609375,0
2026-04-09 07:26:00+00:00,23831.05078125,23839.650390625,23830.650390625,23837.55078125,0
2026-04-09 07:27:00+00:00,23831.19921875,23836.650390625,23829.900390625,23831.05078125,0
2026-04-09 07:28:00+00:00,23834.650390625,23843.599609375,23829.69921875,23832.0,0
2026-04-09 07:29:00+00:00,23830.69921875,23836.80078125,23828.400390625,23833.849609375,0
2026-04-09 07:30:00+00:00,23833.94921875,23839.69921875,23828.55078125,23830.25,0
2026-04-09 07:31:00+00:00,23834.099609375,23835.44921875,23830.69921875,23834.25,0
2026-04-09 07:32:00+00:00,23828.05078125,23842.599609375,23827.099609375,23836.0,0
2026-04-09 07:33:00+00:00,23833.349609375,23834.849609375,23824.349609375,23828.099609375,0
2026-04-09 07:34:00+00:00,23830.94921875,23834.05078125,23829.0,23833.150390625,0
2026-04-09 07:35:00+00:00,23823.55078125,23833.349609375,23821.599609375,23831.150390625,0
2026-04-09 07:36:00+00:00,23820.94921875,23826.25,23816.849609375,23823.80078125,0
2026-04-09 07:37:00+00:00,23830.599609375,23836.94921875,23820.55078125,23820.55078125,0
2026-04-09 07:38:00+00:00,23828.400390625,23831.25,23826.849609375,23829.44921875,0
2026-04-09 07:39:00+00:00,23829.599609375,23833.25,23828.30078125,23828.30078125,0
2026-04-09 07:40:00+00:00,23821.44921875,23831.05078125,23820.30078125,23829.150390625,0
2026-04-09 07:41:00+00:00,23815.94921875,23822.69921875,23815.849609375,23821.25,0
2026-04-09 07:42:00+00:00,23806.30078125,23815.900390625,23804.69921875,23814.900390625,0
2026-04-09 07:43:00+00:00,23816.5,23817.400390625,23805.849609375,23805.849609375,0
2026-04-09 07:44:00+00:00,23815.400390625,23820.25,23814.0,23817.650390625,0
2026-04-09 07:45:00+00:00,23812.849609375,23817.30078125,23812.0,23815.849609375,0
2026-04-09 07:46:00+00:00,23806.55078125,23814.25,23806.55078125,23812.5,0
2026-04-09 07:47:00+00:00,23806.599609375,23810.349609375,23806.150390625,23806.849609375,0
2026-04-09 07:48:00+00:00,23802.94921875,23809.0,23800.94921875,23807.30078125,0
2026-04-09 07:49:00+00:00,23803.19921875,23806.55078125,23801.55078125,23801.599609375,0
2026-04-09 07:50:00+00:00,23794.349609375,23804.349609375,23794.349609375,23803.05078125,0
2026-04-09 07:51:00+00:00,23774.5,23796.05078125,23774.5,23794.349609375,0
2026-04-09 07:52:00+00:00,23792.400390625,23792.400390625,23767.80078125,23773.69921875,0
2026-04-09 07:53:00+00:00,23790.55078125,23795.099609375,23784.849609375,23791.69921875,0
2026-04-09 07:54:00+00:00,23787.19921875,23792.94921875,23779.25,23790.849609375,0
2026-04-09 07:55:00+00:00,23781.900390625,23787.75,23778.69921875,23786.599609375,0
2026-04-09 07:56:00+00:00,23787.349609375,23790.349609375,23777.75,23781.69921875,0
2026-04-09 07:57:00+00:00,23780.94921875,23789.150390625,23779.69921875,23786.44921875,0
2026-04-09 07:58:00+00:00,23773.349609375,23783.099609375,23771.69921875,23780.75,0
2026-04-09 07:59:00+00:00,23769.30078125,23774.349609375,23767.900390625,23772.69921875,0
2026-04-09 08:00:00+00:00,23770.55078125,23781.849609375,23768.94921875,23769.150390625,0
2026-04-09 08:01:00+00:00,23764.19921875,23772.19921875,23759.05078125,23770.44921875,0
2026-04-09 08:02:00+00:00,23774.900390625,23775.80078125,23763.05078125,23763.05078125,0
2026-04-09 08:03:00+00:00,23790.94921875,23791.900390625,23774.69921875,23774.69921875,0
2026-04-09 08:04:00+00:00,23788.69921875,23792.5,23774.900390625,23790.44921875,0
