Datetime,Close,High,Low,Open,pdh,pdl,pdc,pp,r1,r2,s1,s2,bull_trigger,bear_trigger
2026-04-08 10:25:00,23889.349609375,23893.900390625,23880.05078125,23892.75,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:26:00,23888.150390625,23890.80078125,23880.400390625,23890.80078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:27:00,23896.150390625,23896.80078125,23883.55078125,23887.650390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:28:00,23905.69921875,23906.650390625,23895.650390625,23895.650390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:29:00,23908.75,23915.25,23901.69921875,23906.25,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:30:00,23915.75,23916.349609375,23908.5,23909.849609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:31:00,23917.599609375,23918.69921875,23908.05078125,23915.5,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:32:00,23916.05078125,23923.400390625,23915.400390625,23918.55078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:33:00,23926.349609375,23928.349609375,23915.19921875,23916.30078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:34:00,23921.5,23926.19921875,23918.19921875,23924.400390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:35:00,23910.0,23922.05078125,23908.0,23922.05078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:36:00,23904.44921875,23913.849609375,23904.05078125,23910.599609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:37:00,23923.55078125,23924.150390625,23904.80078125,23904.80078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:38:00,23910.30078125,23930.900390625,23910.30078125,23924.150390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:39:00,23921.55078125,23922.05078125,23907.900390625,23911.900390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:40:00,23908.30078125,23921.80078125,23907.849609375,23921.650390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:41:00,23918.55078125,23918.55078125,23906.650390625,23907.900390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:42:00,23916.349609375,23923.150390625,23913.5,23917.55078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:43:00,23940.75,23940.75,23914.25,23916.650390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:44:00,23950.5,23952.94921875,23941.05078125,23941.05078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
