Datetime,Close,High,Low,Open,Volume,ema10,ema20,dema100,green_hammer,red_hammer,inv_red_hammer,bull_engulf,bear_engulf,morning_star,evening_star,pdh,pdl,pdc,pp,r1,s1,r2,s2,r3,s3,r4,s4,r5,s5,bull_trigger,bear_trigger
2026-04-10 09:56:00,23984.75,23985.849609375,23980.75,23981.349609375,0,23977.496974855505,23965.073484494005,23935.922893241255,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 09:57:00,23988.30078125,23992.05078125,23983.94921875,23983.94921875,0,23979.461303290867,23967.285607994578,23939.216876281957,False,False,False,True,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 09:58:00,23990.75,23998.25,23988.150390625,23988.650390625,0,23981.513793601618,23969.520311995093,23942.496981262037,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 09:59:00,23988.05078125,23994.650390625,23987.599609375,23992.099609375,0,23982.702336810413,23971.2851185908,23945.56154684234,False,False,False,False,True,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:00:00,23995.849609375,23997.849609375,23988.44921875,23988.44921875,0,23985.092750003972,23973.624593903583,23948.828412388877,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:01:00,23999.69921875,24000.25,23990.25,23995.69921875,0,23987.748471594157,23976.107891508007,23952.136566271784,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:02:00,23984.900390625,24001.25,23984.19921875,24000.05078125,0,23987.23063869067,23976.94527237629,23954.753362229665,False,False,False,False,True,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:03:00,23982.599609375,23989.30078125,23982.599609375,23985.349609375,0,23986.388633360548,23977.483780661885,23957.189152132294,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,True
2026-04-10 10:04:00,23972.349609375,23982.94921875,23971.849609375,23982.650390625,0,23983.836083544993,23976.994811967896,23959.137472754253,False,False,False,False,True,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:05:00,23925.80078125,23973.94921875,23916.30078125,23971.650390625,0,23973.284210400445,23972.119189994763,23959.189311565384,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:06:00,23940.349609375,23948.5,23925.5,23925.5,0,23967.296101123087,23969.09351565002,23959.796511772878,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:07:00,23940.5,23942.80078125,23934.69921875,23939.400390625,0,23962.424082737067,23966.37032368335,23960.378174146575,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:08:00,23945.19921875,23947.150390625,23933.900390625,23940.55078125,0,23959.29228928487,23964.354027975412,23961.113498891995,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:09:00,23961.55078125,23964.05078125,23945.5,23945.75,0,23959.70292418762,23964.087052096802,23962.45492480213,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:10:00,23972.80078125,23974.44921875,23960.05078125,23960.650390625,0,23962.084352744416,23964.916931063774,23964.18452962234,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:11:00,23976.099609375,23979.0,23972.30078125,23973.80078125,0,23964.6325812227,23965.981948045795,23965.979045169785,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:12:00,23985.099609375,23988.0,23975.650390625,23975.650390625,0,23968.35385906857,23967.802677696192,23968.060069494582,False,False,False,True,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:13:00,23993.80078125,23995.349609375,23983.900390625,23985.69921875,0,23972.980572192464,23970.27868755846,23970.407363516428,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:14:00,23994.400390625,23995.900390625,23988.5,23993.55078125,0,23976.87508463474,23972.575992612416,23972.695300594074,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
